x,y,z,gene
4897.0,2451.0,23,para
4895.0,2455.0,23,para
4894.0,2400.0,23,para
4887.0,2567.0,23,para
4882.0,2407.0,23,para
4870.0,2377.0,23,para
4867.0,2500.0,23,para
4833.0,2256.0,23,para
4795.0,2191.0,23,para
4781.0,2254.0,23,para
4778.0,2291.0,23,para
4776.0,2287.0,23,para
4775.0,2247.0,23,para
4734.0,2653.0,23,para
4719.0,2811.0,23,para
4692.0,2696.0,23,para
4691.0,2833.0,23,para
4676.0,2810.0,23,para
4676.0,2698.0,23,para
4671.0,2810.0,23,para
5433.0,2377.0,24,para
5423.0,2629.0,24,para
5423.0,2614.0,24,para
4901.0,2463.0,24,para
4900.0,2459.0,24,para
4887.0,2435.0,24,para
4885.0,2530.0,24,para
4876.0,2405.0,24,para
4821.0,2309.0,24,para
4810.0,2279.0,24,para
4793.0,2260.0,24,para
4780.0,2311.0,24,para
4696.0,2422.0,24,para
4691.0,2651.0,24,para
4679.0,2829.0,24,para
4676.0,2726.0,24,para
4570.0,2751.0,24,para
5430.0,2394.0,25,para
5426.0,2384.0,25,para
5424.0,2398.0,25,para
5424.0,2396.0,25,para
5363.0,2731.0,25,para
4869.0,2573.0,25,para
4861.0,2453.0,25,para
4860.0,2396.0,25,para
4857.0,2387.0,25,para
4794.0,2266.0,25,para
4735.0,2583.0,25,para
4704.0,2658.0,25,para
4701.0,2402.0,25,para
4697.0,2645.0,25,para
4666.0,2725.0,25,para
4577.0,2777.0,25,para
4874.0,2578.0,26,para
4703.0,2802.0,26,para
4676.0,2727.0,26,para
4647.0,2737.0,26,para
4637.0,2778.0,26,para
4628.0,2410.0,26,para
4619.0,2436.0,26,para
4566.0,2740.0,26,para
5453.0,2517.0,27,para
5368.0,2738.0,27,para
4724.0,2809.0,27,para
4717.0,2458.0,27,para
4715.0,2426.0,27,para
4708.0,2714.0,27,para
4703.0,2435.0,27,para
4695.0,2663.0,27,para
4695.0,2409.0,27,para
4677.0,2407.0,27,para
4676.0,2630.0,27,para
4625.0,2752.0,27,para
4605.0,2402.0,27,para
4596.0,2763.0,27,para
4562.0,2803.0,27,para
4561.0,2735.0,27,para
4552.0,2730.0,27,para
5434.0,2302.0,28,para
4883.0,2511.0,28,para
4883.0,2506.0,28,para
4698.0,2673.0,28,para
4698.0,2575.0,28,para
4690.0,2455.0,28,para
4667.0,2461.0,28,para
4637.0,2790.0,28,para
4617.0,2473.0,28,para
4615.0,2749.0,28,para
4603.0,2425.0,28,para
4600.0,2790.0,28,para
4598.0,2750.0,28,para
4584.0,2792.0,28,para
4563.0,2485.0,28,para
4874.0,2555.0,29,para
4657.0,2409.0,29,para
4651.0,2464.0,29,para
4640.0,2468.0,29,para
4637.0,2733.0,29,para
4637.0,2723.0,29,para
4507.0,2694.0,29,para
4875.0,2506.0,30,para
4806.0,2541.0,30,para
4766.0,2550.0,30,para
4694.0,2703.0,30,para
4657.0,2755.0,30,para
4597.0,2777.0,30,para
4592.0,2785.0,30,para
4591.0,2766.0,30,para
4581.0,2398.0,30,para
4557.0,2747.0,30,para
4555.0,2408.0,30,para
4451.0,2704.0,30,para
4869.0,2514.0,31,para
4865.0,2514.0,31,para
4813.0,2564.0,31,para
4709.0,2525.0,31,para
4700.0,2693.0,31,para
4681.0,2419.0,31,para
4675.0,2693.0,31,para
4629.0,2749.0,31,para
4614.0,2580.0,31,para
4580.0,2495.0,31,para
4407.0,2664.0,31,para
5227.0,2811.0,32,para
4896.0,2571.0,32,para
4873.0,2571.0,32,para
4870.0,2524.0,32,para
4705.0,2685.0,32,para
4703.0,2451.0,32,para
4694.0,2769.0,32,para
4636.0,2750.0,32,para
4627.0,2781.0,32,para
4603.0,2756.0,32,para
4584.0,2747.0,32,para
4539.0,2423.0,32,para
4527.0,2512.0,32,para
4516.0,2493.0,32,para
5213.0,2818.0,33,para
